year,iso_code3,prodinit_ippu_cement_tonne,prodinit_ippu_chemicals_tonne,prodinit_ippu_electronics_tonne,prodinit_ippu_glass_tonne,prodinit_ippu_lime_and_carbonite_tonne,prodinit_ippu_metals_tonne,prodinit_ippu_mining_tonne,prodinit_ippu_paper_tonne,prodinit_ippu_plastic_tonne,prodinit_ippu_rubber_and_leather_tonne,prodinit_ippu_textiles_tonne
2041,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2042,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2043,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2044,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2045,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2046,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2047,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2048,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2049,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2050,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2010,TCD,285205.9795,25765.7621456146,10842.9012568674,504.266116464264,9.246742672716828e-05,93217.7486678193,0.00019157061223459398,4926.88941321445,4497.01347614848,85.2895030235681,5050.00119075962
2011,TCD,285205.9795,25765.7621456146,10842.9012568674,504.266116464264,9.246742672716828e-05,93217.7486678193,0.00019157061223459398,4926.88941321445,4497.01347614848,85.2895030235681,5050.00119075962
2012,TCD,285205.9795,25765.7621456146,10842.9012568674,504.266116464264,9.246742672716828e-05,93217.7486678193,0.00019157061223459398,4926.88941321445,4497.01347614848,85.2895030235681,5050.00119075962
2013,TCD,285205.9795,25765.7621456146,10842.9012568674,504.266116464264,9.246742672716828e-05,93217.7486678193,0.00019157061223459398,4926.88941321445,4497.01347614848,85.2895030235681,5050.00119075962
